fecha,anio,mes,mes_nombre,mes_orden,dia_semana,hora,hora_num,franja_horaria,area,direccion_hecho,barrio_hecho,clase_de_accidente,gravedad_del_accidente,clase_de_vehiculo,clase_de_servicio,controles_de_transito,coordenada_geografica
2023-01-03,2023,1,Enero,1,Martes,15:40:00,15.0,Tarde,URBANA,CARRERA 21 CALLE 32,SAJONIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.201795 4.080615)
2023-01-01,2023,1,Enero,1,Domingo,03:30:00,3.0,Madrugada,URBANA,CARRERA 25 CALLE 31-19,,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.204669 4.082734)
2023-01-02,2023,1,Enero,1,Lunes,17:30:00,17.0,Tarde,URBANA,CARERRA 40 CALLE 13C,,CHOQUE,CON HERIDOS,CAMION,,,POINT (-76.191499 4.089869)
2023-01-04,2023,1,Enero,1,Miércoles,09:53:00,9.0,Mañana,RURAL,LA IBERIA,LA MARINA,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.108301 4.0635)
2023-01-06,2023,1,Enero,1,Viernes,10:09:00,10.0,Mañana,RURAL,VIA FENICIA VEREDA LAS PALMAS,LAS PALMAS,VOLCAMIENTO,CON MUERTO,AUTOMOVIL,PARTICULAR,,POINT (-76.191499 4.089869)
2023-01-06,2023,1,Enero,1,Viernes,01:30:00,1.0,Madrugada,URBANA,TRANSVERSAL 12 CALLE 25,,VOLCAMIENTO,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.206119 4.091404)
2023-01-07,2023,1,Enero,1,Sábado,04:19:00,4.0,Madrugada,URBANA,CARRERA 35 CALLE 28,VICTORIA,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,VERTICAL,POINT (-76.190457 4.082288)
2023-01-08,2023,1,Enero,1,Domingo,10:00:00,10.0,Mañana,RURAL,VIA TULUA 3 ESQUINAS KM2,,VOLCAMIENTO,CON HERIDOS,MOTOCICLETA,PARTICULAR,NINGUNO,POINT (-76.217441 4.109556)
2023-01-08,2023,1,Enero,1,Domingo,12:45:00,12.0,Tarde,URBANA,CALLE 23 CARRERA 23,ESCOBAR,ATROPELLO,CON HERIDOS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.198818 4.088116)
2023-01-08,2023,1,Enero,1,Domingo,01:30:00,1.0,Madrugada,URBANA,CARRERA 28A # 26-81,,CHOQUE,CON HERIDOS,BICICLETA,PARTICULAR,,POINT (-76.194304 4.110854)
2023-01-09,2023,1,Enero,1,Lunes,06:45:00,6.0,Mañana,URBANA,CALLE 26 CARRERA 36,,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,SEMAFORO,POINT (-76.189291 4.083663)
2023-01-09,2023,1,Enero,1,Lunes,09:15:00,9.0,Mañana,URBANA,CARRERA 28A # 20-105,VIILA NUEVA,CHOQUE,CON HERIDOS,BICICLETA,PARTICULAR,,POINT (-76.194124 4.089982)
2023-01-09,2023,1,Enero,1,Lunes,11:00:00,11.0,Mañana,RURAL,VIA TULUA RIOFRIO 2 KM ANTES DEL PUENTE,,VOLCAMIENTO,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.215743 4.088138)
2023-01-11,2023,1,Enero,1,Miércoles,11:20:00,11.0,Mañana,URBANA,CARRERA 26 FRENTE 26-19,COMUNA 4,ATROPELLO,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.196965 4.08506)
2023-01-12,2023,1,Enero,1,Jueves,10:20:00,10.0,Mañana,URBANA,CARRERA 40 # 25-08,,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,,POINT (-76.186519 4.083989)
2023-01-12,2023,1,Enero,1,Jueves,18:40:00,18.0,Noche,URBANA,CARRERA 34 CALLE 34,,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.193265 4.077264)
2023-01-13,2023,1,Enero,1,Viernes,08:07:00,8.0,Mañana,URBANA,CARRERA 23 CALLE 24,,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,VERTICAL,POINT (-76.198956 4.087335)
2023-01-14,2023,1,Enero,1,Sábado,00:00:00,0.0,Madrugada,URBANA,CARRERA 40 # 25-08,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.186519 4.083989)
2023-01-14,2023,1,Enero,1,Sábado,15:50:00,15.0,Tarde,URBANA,CARRERA 25 CALLE 40,COMUNA 5,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.199516 4.073665)
2023-01-15,2023,1,Enero,1,Domingo,16:27:00,16.0,Tarde,URBANA,TRANSVERSAL 12 CALLE 5 # 114,,CHOQUE,SOLO DA„OS,CAMIONETA,PARTICULAR,SEMAFORO,POINT (-76.189423 4.100123)
2023-01-16,2023,1,Enero,1,Lunes,21:30:00,21.0,Noche,URBANA,CALLE 24 CARRERA 15,RUBEN CRUZ,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.203364 4.090987)
2023-01-16,2023,1,Enero,1,Lunes,11:00:00,11.0,Mañana,URBANA,CALLE 23 CARERRA 25,COMUNA 4,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.197253 4.087862)
