"AÑO","FECHA","DIA","HORA","AREA","DIRECCION HECHO","CONTROLES DE TRANSITO","BARRIO HECHO","CLASE DE ACCIDENTE","CLASE DE SERVICIO","GRAVEDAD DEL ACCIDENTE","CLASE DE VEHICULO","Cordenada Geografica "
"2,023","2023/01/03","martes","15:40:00","URBANA","CARRERA 21 CALLE 32","VERTICAL","SAJONIA","CHOQUE","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.201795 4.080615)"
"2,023","2023/01/01","domingo","03:30:00","URBANA","CARRERA 25 CALLE 31-19","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.204669 4.082734)"
"2,023","2023/01/02","lunes","17:30:00","URBANA","CARERRA 40 CALLE 13C","NO INFORMA","No informa","CHOQUE","NO INFORMA","CON HERIDOS","CAMION","POINT (-76.191499 4.089869)"
"2,023","2023/01/04","miercoles","09:53:00","RURAL","LA IBERIA","NO INFORMA","LA MARINA","CHOQUE","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.108301 4.0635)"
"2,023","2023/01/06","viernes","10:09:00","RURAL","VIA FENICIA VEREDA LAS PALMAS","NO INFORMA","LAS PALMAS","VOLCAMIENTO","PARTICULAR","CON MUERTO","AUTOMOVIL","POINT (-76.191499 4.089869)"
"2,023","2023/01/06","viernes","01:30:00","URBANA","TRANSVERSAL 12 CALLE 25","NO INFORMA","No informa","VOLCAMIENTO","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.206119 4.091404)"
"2,023","2023/01/07","sabado","04:19:00","URBANA","CARRERA 35 CALLE 28","VERTICAL","VICTORIA","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.190457 4.082288)"
"2,023","2023/01/08","domingo","10:00:00","RURAL","VIA TULUA 3 ESQUINAS KM2","NINGUNO","No informa","VOLCAMIENTO","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.217441 4.109556)"
"2,023","2023/01/08","domingo","12:45:00","URBANA","CALLE 23 CARRERA 23","VERTICAL","ESCOBAR","ATROPELLO","PARTICULAR","CON HERIDOS","AUTOMOVIL","POINT (-76.198818 4.088116)"
"2,023","2023/01/08","domingo","01:30:00","URBANA","CARRERA 28A # 26-81","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","BICICLETA","POINT (-76.194304 4.110854)"
"2,023","2023/01/09","lunes","06:45:00","URBANA","CALLE 26 CARRERA 36","SEMAFORO","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.189291 4.083663)"
"2,023","2023/01/09","lunes","09:15:00","URBANA","CARRERA 28A # 20-105","NO INFORMA","VIILA NUEVA","CHOQUE","PARTICULAR","CON HERIDOS","BICICLETA","POINT (-76.194124 4.089982)"
"2,023","2023/01/09","lunes","11:00:00","RURAL","VIA TULUA RIOFRIO 2 KM ANTES DEL PUENTE","NO INFORMA","No informa","VOLCAMIENTO","PARTICULAR","CON MUERTO","MOTOCICLETA","POINT (-76.215743 4.088138)"
"2,023","2023/01/11","miercoles","11:20:00","URBANA","CARRERA 26 FRENTE 26-19","VERTICAL","COMUNA 4","ATROPELLO","PARTICULAR","CON HERIDOS","MOTOCICLETA","POINT (-76.196965 4.08506)"
"2,023","2023/01/12","jueves","10:20:00","URBANA","CARRERA 40 # 25-08","NO INFORMA","No informa","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.186519 4.083989)"
"2,023","2023/01/12","jueves","18:40:00","URBANA","CARRERA 34 CALLE 34","VERTICAL","No informa","CHOQUE","PARTICULAR","SOLO DA„OS","AUTOMOVIL","POINT (-76.193265 4.077264)"
"2,023","2023/01/13","viernes","08:07:00","URBANA","CARRERA 23 CALLE 24","VERTICAL","No informa","CHOQUE","PARTICULAR","CON HERIDOS","CAMIONETA","POINT (-76.198956 4.087335)"
